Sentimen,Tweet
NEGATIF,Pak Mentri berani usir penjajah pestisida gak dengan metode jaddam?
POSITIF,Sayurnya metik, atau beli sama tetangga, ga pakai pestisida/kimia. Ikannya, mancing. Masaknya, pakai bumbu garam,gula, rempah alami.  Pulang rumah, listrik ga ada. Kalau ada, nyala nya cuma sore sampai malam. Di desa, hiburannya main voli, bulutangkis, sepakbola.
"NEGATIF,polusi udara, asap kndaraan, pabrik, limbah, obat, vaksin, bahan2 kimia yg terdpt pada semua makanan &amp; minuman. Sbelum ditanam benih &amp; bibit udah dimanipulasi &amp; dicampur dengan bahan kimia, setelah ditanam diracuni pupuk2 non organik, pestisida &amp; zat2 kimia lain. Cuma Rokok?"
POSITIF,Cara pengaplikasiannya:  Encerkan larutan pestisida nabati sebanyak  2-2,5 gelas bekas air mineral dengan 10-14 liter air untuk satu tangki sprayer . aplikasikan setiap seminggu sekali.atau 4 hari sekali atau 1 hari sekali.
NEGATIF,semutnya di pestisida udahan
POSITIF,brokoli nya dikasih pestisida i love you more kak el
POSITIF,Itu komplotan mereka? ... Siapkan pestisida, hama harus di basmi.
POSITIF,Semprot ja lah pake pestisida
POSITIF,Dih, semprot aja mulutnya hyung pake pestisida 🙏🏻🙏🏻🙏🏻
POSITIF,PESTISIDA NABATI MENGATASI HDB KRESEK       Pada musim tanam sekarang ini banyak kita temukan penyakit Hawar Daun Bakteri (HDB). Seperti terlihat pada gambar, tanaman terlihat segar, tapi coba turun dan amati.
NEGATIF,gk ah tar kena semprot pestisida
POSITIF,Coba aja semprot pake pestisida
NEGATIF,awas kena semprot pestisida
"POSITIF,Sering lewat ngeliat kek gini mah biasa aja. Tapi denger petani nyemprot pestisida sambil bilang ""Ya allah musibah apa ini?"", rasanya teriris my heart 😭😭😭 Malu jadi anak ptn ga bisa ngapa2in Izin share ya wahai teman yang punya picts ini https://t.co/5cvLZeYVOQ"
POSITIF,Salah satu yang bisa kita lakukan adalah mencuci buah dan sayuran sebelum dikonsumsi karena mencuci sayur dan buah akan menghilangkan pestisida ataupun kuman dan bakteri yang menempel pada sayur tersebut. Jadi, jangan lupa dicuci sampai bersih ya sahabat Miyako! 😁 https://t.co/oN6VYLKQH6
POSITIF,Yg umum diketahui sih salah duanya itu. Mungkin salah tiganya temennya pupuk yaitu pestisida 
NEGATIF,Pemberian pestisida juga berimbas mahluk hidup lain terkena racun tahan lama yang dapat menyebar ke rantai makanan ke ekosistemnya sehingga dapatmemengaruhimata rantai makhluk hidup yang memakannya.
POSITIF,Beranikah Indonesia hanya menggunakan pupuk organik? Tanpa pestisida 100%? 
POSITIF,5 hari setelah tanam, varietas Biru Lancor. Bismillah semoga aman sampai panen, setitik darma bhakti untuk ibu pertiwi. Menuju teprodukainya pangan yang halalan thayyiban. Insyaallah disiapkan sbg pola budidaya tanaman sehat bebas perlakuan pestisida dan pupuk kimia. https://t.co/ojfvl7HC6N
POSITIF,PESTISIDA NABATI MENGATASI HDB KRESEK       Pada musim tanam sekarang ini banyak kita temukan penyakit Hawar Daun Bakteri (HDB). Seperti terlihat pada gambar, tanaman terlihat segar, tapi coba turun dan amati.
POSITIF,Aspek hubungan mikroorganisme pendegradasi sulfat dalam biokompos dengan tingkat efektivitas bioremediasi pada tanah dengan cemaran pestisida.
"POSITIF,""Bantuan sarana pengendalian OPT ini untuk hama tikus dan wereng,"" kata Siti Farisyah Yana, Selasa (26/1/2021). Bantuan senilai puluhan juta ini disebutkan, terdiri 380 liter dan 150 kg pestisida kimia untuk OPT tikus, wereng batang coklat dan wereng punggung putih..."
"POSITIF,Kecamatan Sepaku 30 hektar dan Poktan Hidup Baru Kecamatan Babulu 52 hektar. ""Bantuan kita salurkan, sebab Dinas Pangan TPH setiap tahun mendapat cadangan pestisida bagi petani,"" jelasnya. Bantuan sarana OPT, nantinya akan diserahkan oleh Gubernur Kaltim H Isran Noor kunjungan"
POSITIF,CPP Pemprov Kaltim berkualitas medium diberikan dan disalurkan pihak Dinas Sosial Kaltim melalui Gudang Bulog Cabang Tanah Grogot Paser ke Provinsi Kalimantan Selatan. Sedangkan bantuan sarana pengendalian OPT berupa 380 liter dan 150 kg pestisida kimia untuk OPT tikus, wereng
NEGATIF,Mungkin mrk kupas krn takut ada pestisida nya wkwkwk tp emng gaenk klo kulitnya dikupas 🤣
NEGATIF,Dibalik penggunaan IPTEK yang semakin merajalela, banyak juga dampak dari penggunaan IPTEK yang menyebabkan kerusakan lingkungan—seperti penggunaan pestisida untuk pembasmi hama.
NEGATIF,Penggunaan pestisida yang secara berlebihan, secara langsung akan menyebabkan berbagai kerusakan ekosistem alam—matinya berbagai hewan seperti hewan pengurai dan konsumen primer.
POSITIF,Alkhamdulillah moga2 tidak mati karena pestisida tapi mati di wajan gorengan
POSITIF,penting banget sih karena dengan mencuci buah dan sayuran,pestisida yang menempel akan hilang  #MIYAKOdulu #MiyakoIndonesia #TemanWajibAnda
NEGATIF,PESTISIDA NABATI MENGATASI HDB KRESEK       Pada musim tanam sekarang ini banyak kita temukan penyakit Hawar Daun Bakteri (HDB). Seperti terlihat pada gambar, tanaman terlihat segar, tapi coba turun dan amati.
POSITIF,Siram pake pestisida
POSITIF,Salah satu yang bisa kita lakukan adalah mencuci buah dan sayuran sebelum dikonsumsi karena mencuci sayur dan buah akan menghilangkan pestisida ataupun kuman dan bakteri yang menempel pada sayur tersebut. Jadi, jangan lupa dicuci sampai bersih ya sahabat Miyako! 😁
POSITIF,semuanya harus menjaga rantai proses makanan. petani tidak pake pestisida berlebihan, ternak yg merumput juga tidak kena pestisida. kow (octanol water partition) pestisida itu tinggi, jadi racun2 ini berkumpul di lemak. kurangi makan lemak salah satu cara mengurangi carcinogen.
POSITIF,Resep pestisida  Target semut merah, belalang, kutu putih, ulat daun dan trips dan antraks Bahan Daun sirih 5 lembar Serei 2 batang Jahe 300 gram Mengkudu 2 buah Carbut :   *Haluskan mengkudu dan jahe bisa diblender/ditumbuk * Siapkan air 1 liter *Potong halus daun sirih 
POSITIF,semuanya harus menjaga rantai proses makanan. petani tidak pake pestisida berlebihan, ternak yg merumput juga tidak kena pestisida. kow (octanol water partition) pestisida itu tinggi, jadi racun2 ini berkumpul di lemak. kurangi makan lemak salah satu cara mengurangi carcinogen.
"POSITIF,PGPR (Plant Growth Promoting Rhizobacteria)  FUNGSI bagi tanaman yaitu mampu memacu pertumbuhan &amp; fisologi akar serta mampu mengurangi penyakit atau keruskan oleh serangga Pengurangan pestisida &amp; rotasi penanaman bisa memacu pertumbuhan populasi dari bakteri-2 yg menguntungkan."
POSITIF,Cara pengaplikasiannya:  Encerkan larutan pestisida nabati sebanyak  2-2,5 gelas bekas air mineral dengan 10-14 liter air untuk satu tangki sprayer . aplikasikan setiap seminggu sekali.atau 4 hari sekali atau 1 hari sekali.
POSITIF,dicuci dulu berasnya takut pake pemutih atau pestisida Aku gatau bahaya apa engga, dulu juga aku sering cemilin beras
POSITIF,Wkkkk... Bisa aj.  Saprodi meliputi Benih, Penyubur Semprot, Pupuk dan Pestisida hayati. Belajar aj. Tp passionmu km yg menentukan lho.
NEGATIF,nenggak pestisida
POSITIF,Matak ieu jadi teh kan gara gara nguyup pestisida and I'm still alive yo u know I mind
NEGATIF,pestisida rasanya grindcore edan
POSITIF,Bantu mereka para petani yg dilokasinya terdampak bencana  1.gratiskan benih,pupuk ,pestisida 2. Subsidi benih,pupuk,pestisida 3.pantau dan evaluasi
NEGATIF,Kemudian jadi kepikiran gimana nasib lebah-lebah yang jam tidurnya jadi kacau itu, otomatis jam-jam penyerbukan juga terganggu. Mana kata penelitiannya, pestisida juga bisa merusak otak baby bee nya, duhhh 😭 @catchmeupid
NEGATIF,Prihatin sekali. Inilah dilemanya jd peternak atau petani. Ortu sy dulu petani, hrg pupuk mahal, pestisida mahal. Tp bgitu panen hrg gabah anjlok. Ortu sy mengeluh n sedih melihatnya. ☹️
NEGATIF,Kasi pestisida aja sekalian biar mati wkwk
POSITIF,Lu makan pestisida?
POSITIF,Bibit unggul ya bund .organik tanpa pestisida
POSITIF,Salah satu manfaat susu untuk tanaman yaitu dapat dijadikan sebagai pestisida. #kumparanWOMAN
POSITIF,#MakananOrganik adlh sgl hasil pertnian yg dibudidayakan tidak memakai bahan kimiawi baik utk pupuk maupun pembasmi hama (pestisida)
POSITIF,Kaya misalkan padi di kampung ibu. Rata-rata petani disana didanai tengkulak mulai dari bibit, pestisida sampe alat buat bajak sawah dan mesin pemotongnya. Petani harus jual ke mereka dengan harga sesuai tengkulak + dipotong biaya yg disediakan tengkulak tadi.
POSITIF,Homo banyak disekitar kita . Tenang ada pestisida . Kata : petani sm yg punya kebun tomat .
NEGATIF,Abenz 22 EC (100 ml) adalah insektisida bersifat racun kontak dan lambung.Memiliki bahan aktif Emamektin Benzoat 2.2%  
NEGATIF,Bos Muda Jebolan IPB University Ini Produksi Reduktan, Kurangi Pestisida Hingga 50 Persen | IPB University
POSITIF,Coba komisi pengawasan pupuk dan  pestisida(KP3) provinsi, ada sangsi tegas klo menyulitkan Petani soal pupuk Ya memang om kondisi dilapangan selalu dinamis. Tapi kan pemerintah jga sudah berupaya maksimal agar distribusi pupuk subsidi tdk terhambat tuk penuhi kebutuhan petaniㅤ ㅤ
POSITIF,Makan siang yang kuanggap sehat. 😀  Ayam panggang nya resep kak @lailadimyati kupanggang di atas teflon, ditaburi oregano. Tumis jagung, paprika, kemangi yang semua ambil di kebun. No pestisida.
POSITIF,Mayan nih bisa jadi judul PKT:  minyak wangi pestisida untuk siswi non muslim di Padang
POSITIF,Mahasiswa UMM Ajak Petani Manfaatkan Limbah Tembakau untuk Pestisida -
POSITIF,itu solusi, indonesia mampu swasembada 😀 tinggal pemerintah sanggup tidak follow up petani (pupuk, pestisida dll)
POSITIF,Seperti sudah di sebutkan sebelumnya, bahwa tanaman memang terkadang membutuhkan pestisida agar terhindar dari hama, namun taukah Teman Idaman bahaya pestisida bagi kesehatan kita?
NEGATIF,Pestisida yang terdapat pada buah dan sayur dapat menyebabkan kemandulan, mempengaruhi hormone, menyebabkan cacat lahir pada bayi, serta dapat menyebabkan diabetes dan kanker lho..
"POSITIF,Apakah ada Teman Idaman yg memiliki hobi berkebun/ bercocok tanam? Nah, berikut adalah beberapa cara menanan tanaman agar tumbuh subur: 1. Menyiram tanaman dengan air secara berkala 2. Memberi pupuk&amp;sinar matahari yang cukup 3. Megantisipasi hama tanaman dgn menggunakan pestisida"
"POSITIF,Kadis Pertanian Tulang Bawang bersama Kasi Pupuk &amp; Pestisida ikuti Video Conference via Zoom Meeting dengan Kepala Dinas KPTPH Provinsi Lampung dan Dirjen PSP Kementerian Pertanian tentang penyaluran pupuk bersubsidi di wilayah Lampung, Selasa (26/01/2021)."
POSITIF,Gapoktan Suka Makmur Simpang Lima Kecamatan Dente Teladas terima bantuan Pestisida dari Dinas Pertanian untuk atasi serangan tikus pada areal lahan PATB, Senin (24/01/2021)
POSITIF,Drone penebar benih untuk tanam sebar benih padi adalah modifikasi dari drone penyemprot pestisida. Modifikasi dilakukan dengan mengganti penampung benih (hopper) dan mengatur pengeluaran benih (seed metering devices)  #infoPSP #sobaTani #pspkementan
POSITIF,Kok kayak menyebarkan pestisida
POSITIF,Meski hama-hama terus mencoba merusak mu. Pestisida akan memusnahkan mereka. Tumbuhlah dengan baik hasilkan bunga yang cantik. Pupuk untukmu tidak akan pernah habis Khun P.
NEGATIF,jauh-jauh, kasihin pestisida biar dia pergi..
NEGATIF,eoniepie MAU AK SMPROT PESTISIDA KH!!!
POSITIF,Pake pestisida sekalian biar gada hama
NEGATIF,Kurang tidur membuat perilaku lebah berubah menjadi pemalas untuk keluar sarang dan mencari makan. 
POSITIF,Senyawa belerang aktif dalam bawang putih tidak hanya bertindak sebagai pestisida yang ampuh, tetapi juga menghilangkan jamur dan menghalangi hama.
NEGATIF,Pestisida aja soalnya km kyk hama
NEGATIF,dlu suka bgt, di rmh nenek byk, klau kebun sendiri jd bagus nggak ada pestisida nya
NEGATIF,dengan menggunakan mesin berat dan bahan kimia, pestisida juga dilarang. Ini berarti akan sulit untuk mencari nafkah dari bertani dan hanya sedikit anak muda di pulau ini yang melihatnya sebagai pilihan karir yang baik. Demikian pula, pembatasan penangkapan ikan guna melindungi
"NEGATIF,Mau cerita Td lg wawancara trus ada petani nanya  ""dek, kangkung yang saya tanam byk putih2nya di daun, itu kenapa ya? Udh byk racun (pestisida) tapi tetap muncul"" Dalam hati :"
POSITIF,Mending pestisida aja deh
"POSITIF,Kaka aku panenannya banyak banget nih ayy Selada segar hidroponik 💚  Murah ☑️ Sehat ☑️ Organik ☑️ Segar ☑️ Bergizi ☑️ No pestisida ☑️ Cuman 12k/kg aja kok, Cocok banget buat yg lagi program diet buat bikin salad dan teman""nya  Grab it fast yaaa ~ Tingkyuu ~~ ♥️♥️♥️ "
"POSITIF,Dlm Kesepakatan Hijau Eropa pengembangan sawit perlu memperhatikan kebijakan yg negara konsumen dan arah kebijakan Uni Eropa adl pertanian presisi, pertanian organik, agro-forestry, animal welfare, mengurangi emisi, penggunaan pupuk, pestisida &amp; antibiotik (kimia) @BappenasRI"
NEGATIF,Study mengungkapkan bahwa ada beberapa jenis cabai yang beracun jika di makan bareng pestisida:D
POSITIF,Tenang nanti di semprot pake pestisida biar ga kena serangan hama
"POSITIF,Arek"" iki tan semprot pestisida lak gak popo seh ? "
NEGATIF,pestisida yg lain bisa memicu kanker
NEGATIF,pestisida setauku itu penyebab keracunan, bukan karsinogen
NEGATIF,Stich belom disemprot pestisida gini nih. Kriting kena hama. Banyak, lur. Mesti disadari petani itu ga miskin tapi dimiskinkan. Lewat apa? Dibuat tergantung terhadap pupuk, benih, pestisida perusahaan asing, dijadikan obyek politik subsidi, tak berdaya terhadap pasar. Lagi-lagi ekonomi politik! Mari ngangsu kawruh dgn mas @QomarunNajmi
POSITIF,swasembada pangan: 68 trjd gagal panen, solusinya revolusi hijau revolusi hijau: pggunaan pestisida dan bahan kimia u/ nambah produktivitas tanaman usaha pokok: intensivikasi(pningkatan) ekstensivikasi(prluasan) diversivikasi(keragaman tnaman) rehabilitasi(perbaikan lahan)
"POSITIF,Pestisida Nabati/alami ""Pesnab"" Saya akan tulis Pesnab yg bisa dipilih/dipakai oleh para petani/penghobies utk menggendalikan hama penyakit tanamannya.Disini tergantung dgn sumber bahan dasar yg ada di wilayah masing2 shgga akan lbh mudah dan biayanya jg semakin murah."
POSITIF,(18/1/21) 5 hari setelah tanam, varietas Biru Lancor. Bismillah semoga aman sampai panen, setitik darma bhakti untuk ibu pertiwi. Menuju teprodukainya pangan yang halalan thayyiban. Insyaallah disiapkan sbg pola budidaya tanaman sehat bebas perlakuan pestisida dan pupuk kimia.
NEGATIF,Beli pestisida gagal nyawa melayang 😭😭 Kisah Tragis Seorang Istri, Tewas Dibunuh Suami Gegara Uang Habis untuk Belanja Klik untuk baca:  ULAT DI SAYURAN MENANDAKAN SAYURAN BEBAS PESTISIDA TP KALO CORO DI BASO MENANDAKAN 🤢🤢 AH SUDAHLAH
POSITIF,Bnyk teman teman berkata.. Koq pesnab ga bisa membunuh hama. Siapa bilang pesnab ga bisa membunuh hama.. Cara kerja pestisida nabati sangat spesifik, yaitu:   (1) merusak perkembangan telur, larva dan pupa.  (2) menghambat pergantian kulit.  (3) mengganggu komunikasi serangga. 
POSITIF,PESTISIDA NABATI MENGATASI HDB KRESEK       Pada musim tanam sekarang ini banyak kita temukan penyakit Hawar Daun Bakteri (HDB). Seperti terlihat pada gambar, tanaman terlihat segar, tapi coba turun dan amati.
NEGATIF,Pernah, keleyengan abisnya wkk. Kuliah ambil pertanian karna emg seneng biologi, taunya tetep ketemu sama kimia juga gegara peminatan banyak belajar pestisida
NEGATIF,gua sangat heran beli kangkung mahal mahal cuma buat di semprot pestisida doang 🚶🚶 buang buang duit kali
POSITIF,waktunya mengerjakan praktek biologi menyemprot tanaman menggunakan pestisida crot crot 💦💦
POSITIF,pkai es ka? ap pestisida
POSITIF,Pakai pestisida bagus tu atau gk lakukan foging kedia
POSITIF,Hyunjin mereferensikan lelucon dari VLIVE masa lalu di mana dia ditanya apakah dia lebih suka makan stroberi rasa pestisida atau pestisida rasa stroberi tetapi penggemar di komentar tidak tahu lelucon itu. @Stray_Kids #StrayKids #스트레이키즈 -🦊 ©jellyskz
POSITIF,bakal miko kasih kata... PESTISIDA! Sampe jam 15:42 ya
NEGATIF,Masihkah Anda melihat kerlip kunang-kunang pada malam hari? Menurut sebuah studi, kunang-kunang di dunia sedang mengalami ancaman kepunahan akibat ulah manusia. Seperti kerusakan habitat, penggunaan pestisida dan cahaya buatan. 
"NEGATIF,Pengurangan bahan kimia pestisida pnah dilakukan pada taun 2017, menurut Distan Jatim &gt; &gt; Gubernur Provinsi Jatim"
"NEGATIF,Pada taun 2017, pengurangan bahan kimia pestisida pnah dilakukan &amp; sejak tu tata kelola budi daya pertanian sudah mengalami pergeseran ( Gubernur Provinsi Jatim )"
"POSITIF,"" Pada tata kelola budi daya pertanian, orientasi pestisida bergeser pada upaya-upaya pengendalian yg bersifat preventif yg lbh ramah lingkungan , "" ujar Kepala Dinas Pertanian Jatim ( Gubernur Jawa Timur )"
"NEGATIF,Terkait hasil uji coba tanaman &amp; hasil tanaman dg pengurangan pestisida, Gubernur Jatim meminta agar ngasih dg penjelasan secara detail &gt; &gt; Gubernur Jatim"
"POSITIF,Gubernur Jatim meminta agar ngasih dg penjelasan secara detail terkait hasil uji coba tanaman &amp; hasil tanaman dg pengurangan pestisida "" Gubernur Jawa Timur """
"NEGATIF,dg berkurangnya pembiayaan pestisida kimia sebesar 32% , Distan Provinsi Jawa Timur menyampaikan bhw nilai tambah keuntungan "" Gubernur Jatim """
NEGATIF,Inovasi Pengurangan Pestisida Pertanian diminta Gubernur Jatim u/ Dikembangkan [ Gubernur Jawa Timur ]
POSITIF,Distan Provinsi Jawa Timur menyampaikan bhw nilai tambah keuntungan petani dg berkurangnya pembiayaan pestisida kimia sebesar 32% . ( Gubernur Provinsi Jatim )
"NEGATIF,Gubernur Jatim tertarik pada program pengurangan penggunaan pestisida tanaman pertanian &gt; &gt; Gubernur Provinsi Jatim"
"NEGATIF,Program pengurangan penggunaan pestisida tanaman pertanian, menarik perhatian Gubernur Jawa Timur &gt; &gt; Gubernur Jatim"
"NEGATIF,Inovasi Pengurangan Pestisida Pertanian diminta Gubernur Jatim u/ Dikembangkan "" Gubernur Jawa Timur """
"NEGATIF,Gubernur Minta Inovasi Pengurangan Pestisida Pertanian Dikembangkan "" Gubernur Provinsi Jatim """
"Negatif: pemakaian pestisida. Setiap penggunaan tekhnologimaju slalu disertai adany dampak negative. Kesadaran &amp; tanggungjawab kita dituntut lebih tinggi agar efek negative dri kemajuan ilmu pengetahuan alam &amp; teknologi dpt ditekan sampai sekecil mungkin. "
"NEGATIF,Dari penjelasan Distan Jatim bahwa pengurangan bahan kimia pestisida pernah dilakukan pada tahun 2017, dan sejak itu tata kelola budi daya pertanian sudah mengalami pergeseran &gt;&gt; Gubernur Provinsi Jatim"
"NEGATIF,Dengan berkurangnya pembiayaan pestisida kimia sebesar 32%, Distan Provinsi Jawa Timur menyampaikan bahwa nilai tambah keuntungan ""Gubernur Jatim"" "
